Timestamp,File Path,Program Name,SHA-1 Hash,Timeline Entry Number,Entry Type,Timestamp Description,Raw Entry
2026-04-08T21:39:02.733331300Z,,,,0,,Latest shimcache update,
,C:\WINDOWS\system32\dashost.exe,,,1,ShimcacheFileEntry,,"{""cache_entry_position"":0,""controlset"":1,""data_size"":136,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\system32\\dashost.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:45:23.075Z"",""path_size"":62,""signature"":""10ts""}"
,,Microsoft.SecHealthUI,,2,ShimcacheProgramEntry,,"{""cache_entry_position"":1,""controlset"":1,""data_size"":100,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0],""entry_type"":{""Program"":{""raw_entry"":""00000009\t03e8737203e90000\t000a000055f00001\t8664\tMicrosoft.SecHealthUI\t8wekyb3d8bbwe\t"",""unknown_u32"":""00000009"",""architecture"":""Amd64"",""program_name"":""Microsoft.SecHealthUI"",""program_version"":""1000.29554.1001.0"",""sdk_version"":""10.0.22000.1"",""publisher_id"":""8wekyb3d8bbwe"",""neutral"":false}},""executed"":null,""last_modified_ts"":null,""path_size"":168,""signature"":""10ts""}"
,,Microsoft.UI.Xaml.2.8,,3,ShimcacheProgramEntry,,"{""cache_entry_position"":2,""controlset"":1,""data_size"":100,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0],""entry_type"":{""Program"":{""raw_entry"":""00000009\t000809cf65910000\t000a000047ba0000\t8664\tMicrosoft.UI.Xaml.2.8\t8wekyb3d8bbwe\t"",""unknown_u32"":""00000009"",""architecture"":""Amd64"",""program_name"":""Microsoft.UI.Xaml.2.8"",""program_version"":""8.2511.26001.0"",""sdk_version"":""10.0.18362.0"",""publisher_id"":""8wekyb3d8bbwe"",""neutral"":false}},""executed"":null,""last_modified_ts"":null,""path_size"":168,""signature"":""10ts""}"
,\\?\C:\Windows\System32\SecurityHealth\10.0.29554.1001-0\SecurityHealthHost.exe,,,4,ShimcacheFileEntry,,"{""cache_entry_position"":3,""controlset"":1,""data_size"":72,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,1,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""\\\\?\\C:\\Windows\\System32\\SecurityHealth\\10.0.29554.1001-0\\SecurityHealthHost.exe""}},""executed"":null,""last_modified_ts"":""2026-04-08T21:21:32.442Z"",""path_size"":158,""signature"":""10ts""}"
,C:\WINDOWS\system32\cleanmgr.exe,,,5,ShimcacheFileEntry,,"{""cache_entry_position"":4,""controlset"":1,""data_size"":136,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\system32\\cleanmgr.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:44:36.493Z"",""path_size"":64,""signature"":""10ts""}"
,C:\WINDOWS\system32\dstokenclean.exe,,,6,ShimcacheFileEntry,,"{""cache_entry_position"":5,""controlset"":1,""data_size"":148,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0,128,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\system32\\dstokenclean.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:46:23.557Z"",""path_size"":72,""signature"":""10ts""}"
,C:\WINDOWS\system32\disksnapshot.exe,,,7,ShimcacheFileEntry,,"{""cache_entry_position"":6,""controlset"":1,""data_size"":148,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0,128,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\system32\\disksnapshot.exe""}},""executed"":null,""last_modified_ts"":""2024-09-06T04:02:28.826Z"",""path_size"":72,""signature"":""10ts""}"
,C:\WINDOWS\system32\speech_onecore\common\SpeechModelDownload.exe,,,8,ShimcacheFileEntry,,"{""cache_entry_position"":7,""controlset"":1,""data_size"":148,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0,128,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\system32\\speech_onecore\\common\\SpeechModelDownload.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:45:45.775Z"",""path_size"":130,""signature"":""10ts""}"
,C:\WINDOWS\system32\netplwiz.exe,,,9,ShimcacheFileEntry,,"{""cache_entry_position"":8,""controlset"":1,""data_size"":136,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\system32\\netplwiz.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:45:20.758Z"",""path_size"":64,""signature"":""10ts""}"
